feature_set,model,seed,balanced_accuracy,sensitivity,specificity,roc_auc,balanced_accuracy_opt_threshold,threshold_used
stage_diff_full_curve,random_forest,1,0.8537037037037037,0.9074074074074074,0.8,0.9497685185185185,0.8851851851851852,0.7466666666666667
stage_diff_full_curve,svm_rbf,1,0.8944444444444444,0.8888888888888888,0.9,0.9666666666666667,0.9259259259259259,0.7923969199024049
stage_diff_full_curve,gradient_boosting,1,0.8333333333333333,0.9166666666666666,0.75,0.9407407407407408,0.8824074074074073,0.998193551065328
stage_diff_full_curve,baseline_log_reg,2,0.9592339261285909,0.9882352941176471,0.9302325581395349,0.9822161422708618,0.9592339261285909,0.6047483358348561
stage_diff_full_curve,lda,2,0.8600547195622434,0.9294117647058824,0.7906976744186046,0.9335157318741449,0.8659370725034199,0.46307698483939264
stage_diff_full_curve,random_forest,2,0.9415868673050616,0.9529411764705882,0.9302325581395349,0.9792065663474693,0.9648426812585499,0.6633333333333333
stage_diff_full_curve,svm_rbf,2,0.9415868673050616,0.9529411764705882,0.9302325581395349,0.9644322845417236,0.9415868673050616,0.7217511254328433
stage_diff_full_curve,gradient_boosting,2,0.8952120383036936,0.9764705882352941,0.813953488372093,0.9772913816689467,0.953077975376197,0.980057776842822
stage_diff_full_curve,baseline_log_reg,3,0.9289297658862876,0.9230769230769231,0.9347826086956522,0.9838350055741361,0.9442586399108138,0.6663461804823148
stage_diff_full_curve,lda,3,0.8380713489409142,0.8717948717948718,0.8043478260869565,0.9280936454849498,0.870680044593088,0.8070069199246361
stage_diff_full_curve,random_forest,3,0.8963210702341138,0.9230769230769231,0.8695652173913043,0.9650222965440357,0.907190635451505,0.5666666666666667
stage_diff_full_curve,svm_rbf,3,0.9096989966555185,0.8846153846153846,0.9347826086956522,0.9662764771460424,0.9205685618729097,0.7692063511541094
stage_diff_full_curve,gradient_boosting,3,0.8330546265328873,0.9487179487179487,0.717391304347826,0.93561872909699,0.9027313266443702,0.9828399314974484
stage_diff_full_curve,baseline_log_reg,4,0.9361904761904762,0.9523809523809523,0.92,0.9874285714285714,0.9504761904761905,0.14933732714169462
stage_diff_full_curve,lda,4,0.8333333333333334,0.8666666666666667,0.8,0.9150476190476191,0.8638095238095238,0.6698458875059998
stage_diff_full_curve,random_forest,4,0.9457142857142857,0.9714285714285714,0.92,0.9868571428571429,0.9571428571428571,0.6966666666666667
stage_diff_full_curve,svm_rbf,4,0.9666666666666667,0.9333333333333333,1.0,0.9885714285714285,0.9666666666666667,0.7285024647959575
stage_diff_full_curve,gradient_boosting,4,0.9361904761904762,0.9523809523809523,0.92,0.9801904761904762,0.9561904761904761,0.7460292229788028
stage_diff_full_curve,baseline_log_reg,5,0.9643151815181519,0.9702970297029703,0.9583333333333334,0.9900990099009901,0.9801980198019802,0.7810620665342297
stage_diff_full_curve,lda,5,0.8413778877887789,0.8910891089108911,0.7916666666666666,0.9323432343234322,0.8900577557755776,0.9391456449299537
stage_diff_full_curve,random_forest,5,0.9434818481848184,0.9702970297029703,0.9166666666666666,0.9785478547854785,0.9752475247524752,0.73
stage_diff_full_curve,svm_rbf,5,0.9127475247524752,0.9504950495049505,0.875,0.9818481848184819,0.9752475247524752,0.8204561775541771
stage_diff_full_curve,gradient_boosting,5,0.8760313531353134,0.9603960396039604,0.7916666666666666,0.9731848184818482,0.9247112211221122,0.9675405566137982
stage_diff_full_curve,baseline_log_reg,6,0.9155219780219781,0.9560439560439561,0.875,0.9835164835164835,0.9615384615384616,0.7890424535869737
stage_diff_full_curve,lda,6,0.879532967032967,0.9340659340659341,0.825,0.9494505494505495,0.9050824175824176,0.9685004045158601
stage_diff_full_curve,random_forest,6,0.9210164835164836,0.967032967032967,0.875,0.9789835164835164,0.940521978021978,0.7333333333333333
stage_diff_full_curve,svm_rbf,6,0.9100274725274725,0.945054945054945,0.875,0.985989010989011,0.9600274725274724,0.7555612252727611
stage_diff_full_curve,gradient_boosting,6,0.8835164835164835,0.967032967032967,0.8,0.9736263736263737,0.9350274725274725,0.9489532694532341
stage_diff_full_curve,baseline_log_reg,7,0.9241964827167981,0.9072164948453608,0.9411764705882353,0.959066100667071,0.9337477258944815,0.7895820650463786
stage_diff_full_curve,lda,7,0.7954821103699212,0.8556701030927835,0.7352941176470589,0.889630078835658,0.8306549423893268,0.9903045959587925
stage_diff_full_curve,random_forest,7,0.8859915100060642,0.9484536082474226,0.8235294117647058,0.9602789569436022,0.9102486355366889,0.64
stage_diff_full_curve,svm_rbf,7,0.8256519102486355,0.8865979381443299,0.7647058823529411,0.9417828987265008,0.8793208004851425,0.7874589767562634
stage_diff_full_curve,gradient_boosting,7,0.8712856276531231,0.9484536082474226,0.7941176470588235,0.954214675560946,0.9249545178896301,0.7997542154188398
stage_diff_full_curve,baseline_log_reg,8,0.9478070175438597,0.9789473684210527,0.9166666666666666,0.9970760233918128,0.9842105263157894,0.7220528330712773
stage_diff_full_curve,lda,8,0.8554093567251462,0.9052631578947369,0.8055555555555556,0.9339181286549708,0.8793859649122806,0.9359970858810707
stage_diff_full_curve,random_forest,8,0.923391812865497,0.9578947368421052,0.8888888888888888,0.9817251461988303,0.9578947368421052,0.7533333333333333
stage_diff_full_curve,svm_rbf,8,0.9320175438596491,0.9473684210526315,0.9166666666666666,0.9894736842105263,0.9736842105263157,0.8230216481727577
stage_diff_full_curve,gradient_boosting,8,0.8956140350877193,0.9578947368421052,0.8333333333333334,0.9845029239766082,0.9578947368421052,0.9914389796198809
stage_diff_full_curve,baseline_log_reg,9,0.925865800865801,0.9880952380952381,0.8636363636363636,0.9962121212121212,0.9821428571428572,0.8950694621021128
stage_diff_full_curve,lda,9,0.8057359307359306,0.9523809523809523,0.6590909090909091,0.9507575757575758,0.9123376623376623,0.9794153947665307
stage_diff_full_curve,random_forest,9,0.9707792207792207,0.9642857142857143,0.9772727272727273,0.9948593073593074,0.9767316017316017,0.47333333333333333
stage_diff_full_curve,svm_rbf,9,0.9648268398268398,0.9523809523809523,0.9772727272727273,0.9921536796536797,0.9648268398268398,0.7213112314012894
stage_diff_full_curve,gradient_boosting,9,0.9204545454545454,1.0,0.8409090909090909,0.9783549783549784,0.9772727272727273,0.9756437179376477
